song	artist
残酷な天使のテーゼ	高橋洋子
Get Wild	TM NETWORK
DESIRE -情熱-	中森明菜
CHA-LA HEAD-CHA-LA	影山ヒロノブ
おどるポンポコリン	B.B.クィーンズ
世界が終るまでは…	WANDS
突然	FIELD OF VIEW
DAN DAN 心魅かれてく	FIELD OF VIEW
そばかす	JUDY AND MARY
1/3の純情な感情	SIAM SHADE
タッチ	岩崎良美
ペガサス幻想	MAKE-UP
愛をとりもどせ!!	クリスタルキング
めざせポケモンマスター	松本梨香
Butter-Fly	和田光司
ターゲット〜赤い衝撃〜	和田光司
brave heart	宮崎歩
炎のたからもの	ルパン三世のテーマ
ルパン三世のテーマ	大野雄二
銀河鉄道999	ゴダイゴ
宇宙戦艦ヤマト	ささきいさお
魂のルフラン	高橋洋子
INVOKE	T.M.Revolution
ignited -イグナイテッド-	T.M.Revolution
HOT LIMIT	T.M.Revolution
Preserved Roses	T.M.Revolution×水樹奈々
HEART OF SWORD 〜夜明け前〜	T.M.Revolution
GO!!!	FLOW
Re:member	FLOW
COLORS	FLOW
Days	FLOW
創聖のアクエリオン	AKINO
君の知らない物語	supercell
My Dearest	supercell
メルト	supercell
恋は戦争	supercell
紅蓮の弓矢	Linked Horizon
自由の翼	Linked Horizon
心臓を捧げよ!	Linked Horizon
紅蓮華	LiSA
炎	LiSA
unlasting	LiSA
Catch the Moment	LiSA
oath sign	LiSA
crossing field	LiSA
シルシ	LiSA
only my railgun	fripSide
sister's noise	fripSide
black bullet	fripSide
God knows...	涼宮ハルヒ(平野綾)
ハレ晴レユカイ	涼宮ハルヒ(平野綾)
Don't say "lazy"	桜高軽音部
GO! GO! MANIAC	放課後ティータイム
Utauyo!!MIRACLE	放課後ティータイム
コネクト	ClariS
irony	ClariS
ルミナス	ClariS
君の名は希望	乃木坂46
シンクロニシティ	乃木坂46
インフルエンサー	乃木坂46
恋するフォーチュンクッキー	AKB48
ヘビーローテーション	AKB48
会いたかった	AKB48
前前前世	RADWIMPS
スパークル	RADWIMPS
なんでもないや	RADWIMPS
夢灯籠	RADWIMPS
グランドエスケープ	RADWIMPS feat.三浦透子
すずめ	RADWIMPS feat.十明
カナタハルカ	RADWIMPS
廻廻奇譚	Eve
群青	YOASOBI
夜に駆ける	YOASOBI
怪物	YOASOBI
祝福	YOASOBI
アイドル	YOASOBI
勇者	YOASOBI
Cry Baby	Official髭男dism
ミックスナッツ	Official髭男dism
Subtitle	Official髭男dism
Pretender	Official髭男dism
宿命	Official髭男dism
KICK BACK	米津玄師
LEMON	米津玄師
Flamingo	米津玄師
打上花火	DAOKO×米津玄師
ピースサイン	米津玄師
アンナチュラル	米津玄師
地球儀	米津玄師
馬と鹿	米津玄師
感電	米津玄師
Bling-Bang-Bang-Born	Creepy Nuts
のびしろ	Creepy Nuts
堕天	Creepy Nuts
シャルル	バルーン
花に亡霊	ヨルシカ
だから僕は音楽を辞めた	ヨルシカ
春泥棒	ヨルシカ
ドライフラワー	優里
ベテルギウス	優里
カタオモイ	Aimer
残響散歌	Aimer
SPARK-AGAIN	Aimer
Ref:rain	Aimer
brave shine	Aimer
